日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2015-09-30,4.73,4.74,4.66,4.67,-0.01,-0.21,"441,671","20,737",1.71,0.46
2015-09-29,4.77,4.78,4.63,4.68,-0.17,-3.51,"522,364","24,632",3.09,0.55
2015-09-28,4.83,4.88,4.76,4.85,0.03,0.62,"447,706","21,552",2.49,0.47
2015-09-25,4.99,5.05,4.76,4.82,-0.19,-3.79,"700,144","34,364",5.79,0.73
2015-09-24,4.95,5.05,4.95,5.01,0.06,1.21,"618,029","30,923",2.02,0.65
2015-09-23,5.00,5.05,4.89,4.95,-0.22,-4.26,"1,024,091","50,959",3.09,1.07
2015-09-22,5.11,5.28,5.07,5.17,0.07,1.37,"1,231,457","63,752",4.12,1.29
2015-09-21,5.02,5.13,4.96,5.10,0.07,1.39,"873,135","44,060",3.38,0.91
2015-09-18,5.00,5.08,4.93,5.03,0.07,1.41,"729,263","36,481",3.02,0.76
2015-09-17,5.03,5.24,4.95,4.96,-0.08,-1.59,"1,211,301","61,724",5.75,1.26
2015-09-16,4.64,5.09,4.64,5.04,0.41,8.86,"1,087,813","52,888",9.72,1.14
2015-09-15,4.90,4.99,4.60,4.63,-0.44,-8.68,"879,600","42,370",7.69,0.92
2015-09-14,5.30,5.40,4.72,5.07,-0.17,-3.24,"1,550,775","78,262",12.98,1.62
2015-09-11,5.22,5.34,5.13,5.24,0.00,0.00,"845,874","44,316",4.01,0.88
2015-09-10,5.36,5.48,5.17,5.24,-0.23,-4.20,"1,250,064","66,604",5.67,1.30
2015-09-09,5.33,5.48,5.27,5.47,0.19,3.60,"1,434,087","77,452",3.98,1.50
2015-09-08,5.02,5.32,4.99,5.28,0.18,3.53,"932,097","48,135",6.47,0.97
2015-09-07,5.18,5.35,5.06,5.10,0.05,0.99,"981,895","51,020",5.74,1.02
2015-09-02,5.29,5.55,5.02,5.05,-0.50,-9.01,"1,399,252","74,024",9.55,1.46
2015-09-01,5.21,5.63,5.01,5.55,0.19,3.54,"2,758,777","147,556",11.57,2.88
2015-08-31,5.30,5.40,5.10,5.36,-0.07,-1.29,"1,869,669","98,177",5.52,1.95
